name,date,size_km,rel_vel_kps,miss_km,pha_flag
(2020 QL2),2025-08-23,0.0870046806,5.4655076444,44771108.24132125,False
(2022 EW5),2025-08-23,0.0733740712,23.8545607934,65296633.83450544,False
(2022 QC31),2025-08-23,0.1008190537,15.1656878977,60638288.55682039,False
(2022 SB),2025-08-23,0.0137893126,31.4351773293,69150671.66933711,False
(2023 QR1),2025-08-23,0.015189469899999999,8.061975581,18099576.940335065,False
(2024 HM),2025-08-23,0.0650942484,8.8657718805,33731435.40814683,False
(2025 ON9),2025-08-23,0.08644554505,2.0998330202,28528931.49860523,False
(2025 PR),2025-08-23,0.0272359556,3.3706618859,6723443.971577464,False
(2025 OE20),2025-08-23,0.10283539409999999,9.7349389978,9026921.77002751,False
(2025 QN3),2025-08-23,0.04156641955,5.7136636501,17588998.39275955,False
(2025 QF4),2025-08-23,0.0147279607,10.6967465013,1613433.881893078,False
(2025 QA5),2025-08-23,0.0120876706,8.0481010016,980227.357275624,False
(2012 BF11),2025-08-24,0.14843715325,6.9469474732,60699560.29890287,False
(2015 MC),2025-08-24,0.0647951675,7.3011064213,49365820.82333948,False
(2016 PC8),2025-08-24,0.0493790371,17.294390693,66310921.754500955,False
(2019 DB2),2025-08-24,0.031156066099999997,8.7497592805,33800914.85232665,False
(2019 GM1),2025-08-24,0.015259581299999998,3.5798541817,17583751.2474693,False
(2019 QQ6),2025-08-24,0.0374578302,17.1558223592,3611033.463329373,False
(2019 UT8),2025-08-24,0.0156150226,11.9913238153,56835542.38624925,False
(2021 WN2),2025-08-24,0.019477921750000002,6.9428257792,41155959.3106686,False
(2023 OQ),2025-08-24,0.1834605186,13.9396974019,36661352.94084104,True
(2023 QH1),2025-08-24,0.0280248061,16.5728543296,54216716.36186106,False
(2025 FJ22),2025-08-24,0.0318817841,3.9869496646,18949375.973471425,False
(2025 OA13),2025-08-24,0.049561291699999996,6.7949539683,10402591.753643544,False
(2025 QC5),2025-08-24,0.0401183088,12.8170970257,8595476.636056948,False
(2015 UW67),2025-08-21,0.1269236687,8.1899448,9872362.91249226,False
(2016 PX38),2025-08-21,0.11954808315000001,3.5061478415,42172846.837730475,False
(2017 QQ35),2025-08-21,0.17928444735,13.7465069129,30942107.679790985,False
(2022 FA4),2025-08-21,0.031012917,6.5967354661,19552694.4294003,False
(2022 QD3),2025-08-21,0.04202837675,6.9462784084,5907178.5725835,False
(2023 CY),2025-08-21,0.023310018449999997,14.6551262468,29809670.7729009,False
(2023 CR3),2025-08-21,0.029891149550000003,16.2281165283,66972704.46424581,False
(2024 RA16),2025-08-21,0.00743948065,12.0252064746,55196129.71224665,False
(2025 MW),2025-08-21,0.058552119050000004,6.4824228842,18470519.14559665,False
(2025 MR1),2025-08-21,0.35281140595,8.2519814374,8272849.501357145,True
(2025 OB3),2025-08-21,0.0601925326,6.9904670247,3358236.220779649,False
(2025 OX10),2025-08-21,0.07836869535,0.1850340339,29852753.089487527,False
(2025 PN2),2025-08-21,0.038066471,16.5701613758,3804512.771817964,False
(2025 QE),2025-08-21,0.0341147833,4.8495282174,9287159.08312424,False
